target,run,concurrency,requests,throughputRps,averageMs,p95Ms,p99Ms,errorRatePercent,elapsedSeconds,averageCpuPercent,peakCpuPercent,averageMemoryMiB,peakMemoryMiB
monolith,1,50,15000,266.23,187.596,392.077,545.163,0,56.342,140.742,168,540.159,546.797
monolith,2,50,15000,320.676,155.77,304.441,402.577,0,46.776,150.676,166.667,545.212,556.922
monolith,3,50,15000,368.321,135.562,278.093,370.478,0,40.725,155.242,165.669,549.969,556.535
microservices,1,50,15000,438.702,113.761,270.475,364.718,0,34.192,166.088,182.365,1423.26,1427.293
microservices,2,50,15000,482.8,103.388,220.381,303.153,0,31.069,174.92,196,1434.997,1438.895
microservices,3,50,15000,470.328,106.145,225.608,317.198,0,31.893,175.229,188,1442.795,1444.84
