NAME                                          READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                    IMAGES                                                                                              SELECTOR
deployment.apps/aituan-web                    1/1     1            1           5h16m   web                           ghcr.io/puaa-team/aituan/web:sha-b8660d3e1a0db9dca0fd4d9d9793fed53e3fb5d4                           app.kubernetes.io/name=aituan-web,app.kubernetes.io/part-of=aituan
deployment.apps/api-gateway                   1/1     1            1           5h16m   api-gateway                   ghcr.io/puaa-team/aituan/api-gateway:sha-b8660d3e1a0db9dca0fd4d9d9793fed53e3fb5d4                   app.kubernetes.io/name=api-gateway,app.kubernetes.io/part-of=aituan
deployment.apps/engagement-platform-service   1/1     1            1           5h16m   engagement-platform-service   ghcr.io/puaa-team/aituan/engagement-platform-service:sha-b8660d3e1a0db9dca0fd4d9d9793fed53e3fb5d4   app.kubernetes.io/name=engagement-platform-service,app.kubernetes.io/part-of=aituan
deployment.apps/identity-asset-service        1/1     1            1           5h16m   identity-asset-service        ghcr.io/puaa-team/aituan/identity-asset-service:sha-b8660d3e1a0db9dca0fd4d9d9793fed53e3fb5d4        app.kubernetes.io/name=identity-asset-service,app.kubernetes.io/part-of=aituan
deployment.apps/merchant-catalog-service      1/1     1            1           5h16m   merchant-catalog-service      ghcr.io/puaa-team/aituan/merchant-catalog-service:sha-b8660d3e1a0db9dca0fd4d9d9793fed53e3fb5d4      app.kubernetes.io/name=merchant-catalog-service,app.kubernetes.io/part-of=aituan
deployment.apps/trade-fulfillment-service     1/1     1            1           5h16m   trade-fulfillment-service     ghcr.io/puaa-team/aituan/trade-fulfillment-service:sha-b8660d3e1a0db9dca0fd4d9d9793fed53e3fb5d4     app.kubernetes.io/name=trade-fulfillment-service,app.kubernetes.io/part-of=aituan

NAME                                               READY   STATUS    RESTARTS   AGE     IP            NODE                      NOMINATED NODE   READINESS GATES
pod/aituan-hpa-load-1788351408-v66s9               1/1     Running   0          6m22s   10.42.0.196   izj6c1l84z55xbo85st14pz   <none>           <none>
pod/aituan-web-59b75c5cfd-r6znv                    1/1     Running   0          20m     10.42.0.159   izj6c1l84z55xbo85st14pz   <none>           <none>
pod/api-gateway-7ddddc4f8f-q9pxn                   1/1     Running   0          20m     10.42.0.160   izj6c1l84z55xbo85st14pz   <none>           <none>
pod/engagement-platform-service-7b6df4855b-zflnb   1/1     Running   0          20m     10.42.0.161   izj6c1l84z55xbo85st14pz   <none>           <none>
pod/identity-asset-service-8648977489-86jz5        1/1     Running   0          20m     10.42.0.162   izj6c1l84z55xbo85st14pz   <none>           <none>
pod/merchant-catalog-service-568bf45885-m9l55      1/1     Running   0          20m     10.42.0.163   izj6c1l84z55xbo85st14pz   <none>           <none>
pod/mysql-0                                        1/1     Running   0          21m     10.42.0.157   izj6c1l84z55xbo85st14pz   <none>           <none>
pod/trade-fulfillment-service-57cc4f96c-kzg2h      1/1     Running   0          20m     10.42.0.164   izj6c1l84z55xbo85st14pz   <none>           <none>
