LAST SEEN   TYPE      REASON                         OBJECT                                                   MESSAGE
9m32s       Normal    Scheduled                      pod/identity-asset-service-8648977489-gbrsc              Successfully assigned aituan/identity-asset-service-8648977489-gbrsc to izj6c1l84z55xbo85st14pz
9m30s       Normal    Scheduled                      pod/trade-fulfillment-service-57cc4f96c-cmvxf            Successfully assigned aituan/trade-fulfillment-service-57cc4f96c-cmvxf to izj6c1l84z55xbo85st14pz
2m32s       Normal    Scheduled                      pod/engagement-platform-service-7b6df4855b-g4qzm         Successfully assigned aituan/engagement-platform-service-7b6df4855b-g4qzm to izj6c1l84z55xbo85st14pz
10m         Normal    Scheduled                      pod/aituan-hpa-load-1788350998-clh4w                     Successfully assigned aituan/aituan-hpa-load-1788350998-clh4w to izj6c1l84z55xbo85st14pz
17m         Normal    Scheduled                      pod/identity-asset-service-8648977489-86jz5              Successfully assigned aituan/identity-asset-service-8648977489-86jz5 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/trade-fulfillment-service-57cc4f96c-9bwqw            Successfully assigned aituan/trade-fulfillment-service-57cc4f96c-9bwqw to izj6c1l84z55xbo85st14pz
45m         Normal    Scheduled                      pod/identity-asset-service-7cf5978966-mcrv8              Successfully assigned aituan/identity-asset-service-7cf5978966-mcrv8 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/api-gateway-6487dd55d9-2kvjq                         Successfully assigned aituan/api-gateway-6487dd55d9-2kvjq to izj6c1l84z55xbo85st14pz
2m30s       Normal    Scheduled                      pod/trade-fulfillment-service-57cc4f96c-5pr7c            Successfully assigned aituan/trade-fulfillment-service-57cc4f96c-5pr7c to izj6c1l84z55xbo85st14pz
2m17s       Normal    Scheduled                      pod/engagement-platform-service-7b6df4855b-mcbpd         Successfully assigned aituan/engagement-platform-service-7b6df4855b-mcbpd to izj6c1l84z55xbo85st14pz
18m         Normal    Scheduled                      pod/mysql-0                                              Successfully assigned aituan/mysql-0 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/version-api-gateway-33624446793-1                    Successfully assigned aituan/version-api-gateway-33624446793-1 to izj6c1l84z55xbo85st14pz
9m33s       Normal    Scheduled                      pod/engagement-platform-service-7b6df4855b-s575d         Successfully assigned aituan/engagement-platform-service-7b6df4855b-s575d to izj6c1l84z55xbo85st14pz
32m         Normal    Scheduled                      pod/version-api-gateway-33625864450-1                    Successfully assigned aituan/version-api-gateway-33625864450-1 to izj6c1l84z55xbo85st14pz
45m         Normal    Scheduled                      pod/api-gateway-6487dd55d9-lzsp7                         Successfully assigned aituan/api-gateway-6487dd55d9-lzsp7 to izj6c1l84z55xbo85st14pz
48m         Normal    Scheduled                      pod/identity-asset-service-7cf5978966-h4rxp              Successfully assigned aituan/identity-asset-service-7cf5978966-h4rxp to izj6c1l84z55xbo85st14pz
34m         Normal    Scheduled                      pod/mysql-0                                              Successfully assigned aituan/mysql-0 to izj6c1l84z55xbo85st14pz
9m33s       Normal    Scheduled                      pod/api-gateway-7ddddc4f8f-zwk58                         Successfully assigned aituan/api-gateway-7ddddc4f8f-zwk58 to izj6c1l84z55xbo85st14pz
16m         Normal    Scheduled                      pod/version-api-gateway-33627149918-1                    Successfully assigned aituan/version-api-gateway-33627149918-1 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/version-engagement-platform-service-33624446793-1    Successfully assigned aituan/version-engagement-platform-service-33624446793-1 to izj6c1l84z55xbo85st14pz
34m         Normal    Scheduled                      pod/identity-asset-service-54fddb66c9-cdgcw              Successfully assigned aituan/identity-asset-service-54fddb66c9-cdgcw to izj6c1l84z55xbo85st14pz
48m         Normal    Scheduled                      pod/api-gateway-6487dd55d9-rqth9                         Successfully assigned aituan/api-gateway-6487dd55d9-rqth9 to izj6c1l84z55xbo85st14pz
2m33s       Normal    Scheduled                      pod/api-gateway-7ddddc4f8f-x6qmd                         Successfully assigned aituan/api-gateway-7ddddc4f8f-x6qmd to izj6c1l84z55xbo85st14pz
48m         Normal    Scheduled                      pod/mysql-0                                              Successfully assigned aituan/mysql-0 to izj6c1l84z55xbo85st14pz
31m         Normal    Scheduled                      pod/version-engagement-platform-service-33625864450-1    Successfully assigned aituan/version-engagement-platform-service-33625864450-1 to izj6c1l84z55xbo85st14pz
