LAST SEEN   TYPE      REASON                         OBJECT                                                   MESSAGE
47m         Normal    Pulled                         pod/engagement-platform-service-b6f9bd8c9-mmpz7          Container image "ghcr.io/puaa-team/aituan/engagement-platform-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" already present on machine and can be accessed by the pod
47m         Normal    Killing                        pod/api-gateway-6b89d8fb99-kkhfv                         Stopping container api-gateway
47m         Normal    Started                        pod/engagement-platform-service-b6f9bd8c9-mmpz7          Container started
47m         Normal    ScalingReplicaSet              deployment/api-gateway                                   Scaled down replica set api-gateway-6b89d8fb99 from 1 to 0
47m         Warning   Unhealthy                      pod/engagement-platform-service-84f955bd9-xwhn2          Readiness probe failed: Get "http://10.42.0.96:8084/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
47m         Warning   Unhealthy                      pod/identity-asset-service-6f5d854d8d-jtcg2              Readiness probe failed: Get "http://10.42.0.97:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
47m         Warning   Unhealthy                      pod/merchant-catalog-service-5bcbb4bd8d-tq8p7            Readiness probe failed: Get "http://10.42.0.98:8082/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
47m         Warning   Unhealthy                      pod/trade-fulfillment-service-5f577b56fd-lvp98           Readiness probe failed: Get "http://10.42.0.99:8083/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
47m         Warning   Unhealthy                      pod/merchant-catalog-service-65bd4fcf56-8b7vs            Startup probe failed: Get "http://10.42.0.119:8082/actuator/health": dial tcp 10.42.0.119:8082: connect: connection refused
47m         Warning   Unhealthy                      pod/trade-fulfillment-service-5f9dd448d4-5w64w           Startup probe failed: Get "http://10.42.0.120:8083/actuator/health": dial tcp 10.42.0.120:8083: connect: connection refused
47m         Warning   Unhealthy                      pod/engagement-platform-service-b6f9bd8c9-mmpz7          Startup probe failed: Get "http://10.42.0.117:8084/actuator/health": dial tcp 10.42.0.117:8084: connect: connection refused
47m         Warning   Unhealthy                      pod/identity-asset-service-7cf5978966-h4rxp              Startup probe failed: Get "http://10.42.0.118:8081/actuator/health": dial tcp 10.42.0.118:8081: connect: connection refused
47m         Normal    ScalingReplicaSet              deployment/merchant-catalog-service                      Scaled down replica set merchant-catalog-service-5bcbb4bd8d from 1 to 0
47m         Normal    SuccessfulDelete               replicaset/merchant-catalog-service-5bcbb4bd8d           Deleted pod: merchant-catalog-service-5bcbb4bd8d-tq8p7
47m         Warning   Unhealthy                      pod/merchant-catalog-service-5bcbb4bd8d-tq8p7            Readiness probe failed: Get "http://10.42.0.98:8082/actuator/health": dial tcp 10.42.0.98:8082: connect: connection refused
47m         Normal    Killing                        pod/merchant-catalog-service-5bcbb4bd8d-tq8p7            Stopping container merchant-catalog-service
47m         Warning   Unhealthy                      pod/trade-fulfillment-service-5f577b56fd-lvp98           Readiness probe failed: Get "http://10.42.0.99:8083/actuator/health": dial tcp 10.42.0.99:8083: connect: connection refused
47m         Normal    SuccessfulDelete               replicaset/trade-fulfillment-service-5f577b56fd          Deleted pod: trade-fulfillment-service-5f577b56fd-lvp98
47m         Normal    Killing                        pod/trade-fulfillment-service-5f577b56fd-lvp98           Stopping container trade-fulfillment-service
47m         Normal    ScalingReplicaSet              deployment/trade-fulfillment-service                     Scaled down replica set trade-fulfillment-service-5f577b56fd from 1 to 0
47m         Normal    SuccessfulDelete               replicaset/engagement-platform-service-84f955bd9         Deleted pod: engagement-platform-service-84f955bd9-xwhn2
47m         Warning   Unhealthy                      pod/engagement-platform-service-84f955bd9-xwhn2          Readiness probe failed: Get "http://10.42.0.96:8084/actuator/health": dial tcp 10.42.0.96:8084: connect: connection refused
47m         Normal    ScalingReplicaSet              deployment/engagement-platform-service                   Scaled down replica set engagement-platform-service-84f955bd9 from 1 to 0
47m         Normal    Killing                        pod/engagement-platform-service-84f955bd9-xwhn2          Stopping container engagement-platform-service
47m         Normal    SuccessfulDelete               replicaset/identity-asset-service-6f5d854d8d             Deleted pod: identity-asset-service-6f5d854d8d-jtcg2
47m         Warning   Unhealthy                      pod/identity-asset-service-6f5d854d8d-jtcg2              Readiness probe failed: Get "http://10.42.0.97:8081/actuator/health": dial tcp 10.42.0.97:8081: connect: connection refused
47m         Normal    ScalingReplicaSet              deployment/identity-asset-service                        Scaled down replica set identity-asset-service-6f5d854d8d from 1 to 0
47m         Normal    Killing                        pod/identity-asset-service-6f5d854d8d-jtcg2              Stopping container identity-asset-service
46m         Normal    Pulled                         pod/health-api-gateway-33624446793-1-1                   Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Created                        pod/health-api-gateway-33624446793-1-1                   Container created
46m         Normal    Started                        pod/health-api-gateway-33624446793-1-1                   Container started
46m         Normal    Created                        pod/version-api-gateway-33624446793-1                    Container created
46m         Normal    Started                        pod/version-api-gateway-33624446793-1                    Container started
46m         Normal    Pulled                         pod/version-api-gateway-33624446793-1                    Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Pulled                         pod/health-identity-asset-service-33624446793-1-1        Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Created                        pod/health-identity-asset-service-33624446793-1-1        Container created
46m         Normal    Started                        pod/health-identity-asset-service-33624446793-1-1        Container started
46m         Normal    Started                        pod/version-identity-asset-service-33624446793-1         Container started
46m         Normal    Created                        pod/version-identity-asset-service-33624446793-1         Container created
46m         Normal    Pulled                         pod/version-identity-asset-service-33624446793-1         Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Pulled                         pod/health-merchant-catalog-service-33624446793-1-1      Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Created                        pod/health-merchant-catalog-service-33624446793-1-1      Container created
46m         Normal    Started                        pod/health-merchant-catalog-service-33624446793-1-1      Container started
46m         Normal    Started                        pod/version-merchant-catalog-service-33624446793-1       Container started
46m         Normal    Pulled                         pod/version-merchant-catalog-service-33624446793-1       Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Created                        pod/version-merchant-catalog-service-33624446793-1       Container created
46m         Normal    Started                        pod/health-trade-fulfillment-service-33624446793-1-1     Container started
46m         Normal    SuccessfulCreate               replicaset/api-gateway-6487dd55d9                        Created pod: api-gateway-6487dd55d9-2kvjq
46m         Normal    Created                        pod/health-trade-fulfillment-service-33624446793-1-1     Container created
46m         Normal    Pulled                         pod/health-trade-fulfillment-service-33624446793-1-1     Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Pulled                         pod/api-gateway-6487dd55d9-2kvjq                         Container image "ghcr.io/puaa-team/aituan/api-gateway:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" already present on machine and can be accessed by the pod
46m         Normal    Started                        pod/api-gateway-6487dd55d9-2kvjq                         Container started
46m         Normal    Created                        pod/api-gateway-6487dd55d9-2kvjq                         Container created
46m         Normal    Pulled                         pod/version-trade-fulfillment-service-33624446793-1      Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Started                        pod/version-trade-fulfillment-service-33624446793-1      Container started
46m         Normal    Created                        pod/version-trade-fulfillment-service-33624446793-1      Container created
46m         Normal    Pulling                        pod/wait-mysql-smoke-1788348829                          Pulling image "busybox:1.36.1"
46m         Normal    Pulled                         pod/health-engagement-platform-service-33624446793-1-1   Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Started                        pod/health-engagement-platform-service-33624446793-1-1   Container started
46m         Normal    Created                        pod/health-engagement-platform-service-33624446793-1-1   Container created
46m         Normal    Pulled                         pod/wait-mysql-smoke-1788348829                          Successfully pulled image "busybox:1.36.1" in 3.87s (3.87s including waiting). Image size: 2217006 bytes.
46m         Normal    Started                        pod/wait-mysql-smoke-1788348829                          Container started
46m         Normal    Created                        pod/wait-mysql-smoke-1788348829                          Container created
46m         Normal    Pulled                         pod/version-engagement-platform-service-33624446793-1    Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
46m         Normal    Created                        pod/version-engagement-platform-service-33624446793-1    Container created
46m         Normal    ScalingReplicaSet              deployment/merchant-catalog-service                      Scaled up replica set merchant-catalog-service-65bd4fcf56 from 1 to 2
46m         Normal    SuccessfulCreate               replicaset/merchant-catalog-service-65bd4fcf56           Created pod: merchant-catalog-service-65bd4fcf56-25hf8
46m         Normal    Started                        pod/version-engagement-platform-service-33624446793-1    Container started
46m         Normal    Created                        pod/merchant-catalog-service-65bd4fcf56-25hf8            Container created
46m         Normal    Pulled                         pod/merchant-catalog-service-65bd4fcf56-25hf8            Container image "ghcr.io/puaa-team/aituan/merchant-catalog-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" already present on machine and can be accessed by the pod
46m         Normal    Started                        pod/merchant-catalog-service-65bd4fcf56-25hf8            Container started
45m         Warning   Unhealthy                      pod/api-gateway-6487dd55d9-2kvjq                         Startup probe failed: Get "http://10.42.0.129:8080/actuator/health": dial tcp 10.42.0.129:8080: connect: connection refused
45m         Normal    SuccessfulCreate               replicaset/engagement-platform-service-b6f9bd8c9         Created pod: engagement-platform-service-b6f9bd8c9-vdf7d
45m         Normal    ScalingReplicaSet              deployment/engagement-platform-service                   Scaled up replica set engagement-platform-service-b6f9bd8c9 from 1 to 2
45m         Normal    SuccessfulRescale              horizontalpodautoscaler/engagement-platform-service      New size: 2; reason: cpu resource utilization (percentage of request) above target
45m         Normal    Started                        pod/engagement-platform-service-b6f9bd8c9-vdf7d          Container started
45m         Normal    Created                        pod/engagement-platform-service-b6f9bd8c9-vdf7d          Container created
45m         Normal    Pulled                         pod/engagement-platform-service-b6f9bd8c9-vdf7d          Container image "ghcr.io/puaa-team/aituan/engagement-platform-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" already present on machine and can be accessed by the pod
45m         Warning   Unhealthy                      pod/merchant-catalog-service-65bd4fcf56-25hf8            Startup probe failed: Get "http://10.42.0.134:8082/actuator/health": dial tcp 10.42.0.134:8082: connect: connection refused
45m         Warning   Unhealthy                      pod/engagement-platform-service-b6f9bd8c9-vdf7d          Startup probe failed: Get "http://10.42.0.135:8084/actuator/health": dial tcp 10.42.0.135:8084: connect: connection refused
45m         Normal    Started                        pod/api-gateway-6487dd55d9-lzsp7                         Container started
45m         Normal    Pulled                         pod/api-gateway-6487dd55d9-lzsp7                         Container image "ghcr.io/puaa-team/aituan/api-gateway:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" already present on machine and can be accessed by the pod
45m         Normal    Created                        pod/api-gateway-6487dd55d9-lzsp7                         Container created
45m         Normal    SuccessfulCreate               replicaset/api-gateway-6487dd55d9                        Created pod: api-gateway-6487dd55d9-lzsp7
45m         Normal    SuccessfulRescale              horizontalpodautoscaler/identity-asset-service           New size: 2; reason: cpu resource utilization (percentage of request) above target
45m         Normal    ScalingReplicaSet              deployment/identity-asset-service                        Scaled up replica set identity-asset-service-7cf5978966 from 1 to 2
45m         Normal    SuccessfulCreate               replicaset/identity-asset-service-7cf5978966             Created pod: identity-asset-service-7cf5978966-mcrv8
45m         Normal    Pulled                         pod/identity-asset-service-7cf5978966-mcrv8              Container image "ghcr.io/puaa-team/aituan/identity-asset-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" already present on machine and can be accessed by the pod
45m         Normal    Created                        pod/identity-asset-service-7cf5978966-mcrv8              Container created
45m         Normal    Started                        pod/identity-asset-service-7cf5978966-mcrv8              Container started
45m         Warning   Unhealthy                      pod/api-gateway-6487dd55d9-lzsp7                         Startup probe failed: Get "http://10.42.0.136:8080/actuator/health": dial tcp 10.42.0.136:8080: connect: connection refused
44m         Warning   Unhealthy                      pod/identity-asset-service-7cf5978966-mcrv8              Startup probe failed: Get "http://10.42.0.137:8081/actuator/health": dial tcp 10.42.0.137:8081: connect: connection refused
43m         Normal    ScalingReplicaSet              deployment/merchant-catalog-service                      Scaled down replica set merchant-catalog-service-65bd4fcf56 from 2 to 1
43m         Normal    Killing                        pod/merchant-catalog-service-65bd4fcf56-25hf8            Stopping container merchant-catalog-service
43m         Normal    SuccessfulDelete               replicaset/merchant-catalog-service-65bd4fcf56           Deleted pod: merchant-catalog-service-65bd4fcf56-25hf8
43m         Normal    ScalingReplicaSet              deployment/engagement-platform-service                   Scaled down replica set engagement-platform-service-b6f9bd8c9 from 2 to 1
43m         Normal    Killing                        pod/engagement-platform-service-b6f9bd8c9-vdf7d          Stopping container engagement-platform-service
43m         Normal    SuccessfulDelete               replicaset/engagement-platform-service-b6f9bd8c9         Deleted pod: engagement-platform-service-b6f9bd8c9-vdf7d
43m         Normal    Killing                        pod/api-gateway-6487dd55d9-2kvjq                         Stopping container api-gateway
43m         Normal    Killing                        pod/api-gateway-6487dd55d9-lzsp7                         Stopping container api-gateway
43m         Normal    SuccessfulDelete               replicaset/api-gateway-6487dd55d9                        Deleted pod: api-gateway-6487dd55d9-2kvjq
43m         Normal    SuccessfulDelete               replicaset/api-gateway-6487dd55d9                        Deleted pod: api-gateway-6487dd55d9-lzsp7
43m         Warning   Unhealthy                      pod/api-gateway-6487dd55d9-2kvjq                         Readiness probe failed: Get "http://10.42.0.129:8080/actuator/health": dial tcp 10.42.0.129:8080: connect: connection refused
43m         Normal    Killing                        pod/identity-asset-service-7cf5978966-mcrv8              Stopping container identity-asset-service
43m         Warning   Unhealthy                      pod/api-gateway-6487dd55d9-lzsp7                         Readiness probe failed: Get "http://10.42.0.136:8080/actuator/health": dial tcp 10.42.0.136:8080: connect: connection refused
43m         Normal    SuccessfulDelete               replicaset/identity-asset-service-7cf5978966             Deleted pod: identity-asset-service-7cf5978966-mcrv8
43m         Normal    ScalingReplicaSet              deployment/identity-asset-service                        Scaled down replica set identity-asset-service-7cf5978966 from 2 to 1
34m         Normal    ScalingReplicaSet              deployment/aituan-web                                    Scaled up replica set aituan-web-9db46b55c from 0 to 1
34m         Normal    SuccessfulCreate               replicaset/engagement-platform-service-57c9877df4        Created pod: engagement-platform-service-57c9877df4-xxt4j
34m         Normal    SuccessfulCreate               replicaset/api-gateway-67454f875f                        Created pod: api-gateway-67454f875f-x74n8
34m         Normal    SuccessfulCreate               replicaset/aituan-web-9db46b55c                          Created pod: aituan-web-9db46b55c-z89pk
34m         Normal    ScalingReplicaSet              deployment/engagement-platform-service                   Scaled up replica set engagement-platform-service-57c9877df4 from 0 to 1
34m         Normal    Pulling                        pod/api-gateway-67454f875f-x74n8                         Pulling image "ghcr.io/puaa-team/aituan/api-gateway:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6"
34m         Normal    Pulling                        pod/aituan-web-9db46b55c-z89pk                           Pulling image "ghcr.io/puaa-team/aituan/web:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6"
34m         Normal    SuccessfulCreate               replicaset/identity-asset-service-54fddb66c9             Created pod: identity-asset-service-54fddb66c9-cdgcw
34m         Normal    Started                        pod/engagement-platform-service-57c9877df4-xxt4j         Container started
34m         Normal    Pulling                        pod/engagement-platform-service-57c9877df4-xxt4j         Pulling image "ghcr.io/puaa-team/aituan/engagement-platform-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6"
34m         Normal    Created                        pod/engagement-platform-service-57c9877df4-xxt4j         Container created
34m         Normal    ScalingReplicaSet              deployment/identity-asset-service                        Scaled up replica set identity-asset-service-54fddb66c9 from 0 to 1
34m         Normal    ScalingReplicaSet              deployment/merchant-catalog-service                      Scaled up replica set merchant-catalog-service-5d6858cd97 from 0 to 1
34m         Normal    Started                        pod/identity-asset-service-54fddb66c9-cdgcw              Container started
34m         Normal    Created                        pod/identity-asset-service-54fddb66c9-cdgcw              Container created
34m         Normal    Pulled                         pod/identity-asset-service-54fddb66c9-cdgcw              Container image "busybox:1.36.1" already present on machine and can be accessed by the pod
34m         Normal    SuccessfulCreate               replicaset/merchant-catalog-service-5d6858cd97           Created pod: merchant-catalog-service-5d6858cd97-qgnk6
34m         Normal    Pulled                         pod/engagement-platform-service-57c9877df4-xxt4j         Container image "busybox:1.36.1" already present on machine and can be accessed by the pod
34m         Normal    Created                        pod/merchant-catalog-service-5d6858cd97-qgnk6            Container created
34m         Normal    Started                        pod/merchant-catalog-service-5d6858cd97-qgnk6            Container started
34m         Normal    Created                        pod/trade-fulfillment-service-b94c4db85-8vgkg            Container created
34m         Normal    Pulled                         pod/trade-fulfillment-service-b94c4db85-8vgkg            Container image "busybox:1.36.1" already present on machine and can be accessed by the pod
34m         Normal    Pulling                        pod/identity-asset-service-54fddb66c9-cdgcw              Pulling image "ghcr.io/puaa-team/aituan/identity-asset-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6"
34m         Normal    Pulled                         pod/merchant-catalog-service-5d6858cd97-qgnk6            Container image "busybox:1.36.1" already present on machine and can be accessed by the pod
34m         Normal    SuccessfulCreate               replicaset/trade-fulfillment-service-b94c4db85           Created pod: trade-fulfillment-service-b94c4db85-8vgkg
34m         Normal    ScalingReplicaSet              deployment/trade-fulfillment-service                     Scaled up replica set trade-fulfillment-service-b94c4db85 from 0 to 1
34m         Normal    Pulling                        pod/merchant-catalog-service-5d6858cd97-qgnk6            Pulling image "ghcr.io/puaa-team/aituan/merchant-catalog-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6"
34m         Normal    Started                        pod/trade-fulfillment-service-b94c4db85-8vgkg            Container started
34m         Warning   Unhealthy                      pod/mysql-0                                              Readiness probe errored and resulted in unknown state: rpc error: code = Canceled desc = context canceled
34m         Normal    Killing                        pod/mysql-0                                              Stopping container mysql
34m         Warning   Unhealthy                      pod/engagement-platform-service-b6f9bd8c9-mmpz7          Readiness probe failed: HTTP probe failed with statuscode: 503
34m         Normal    Pulling                        pod/mysql-0                                              Pulling image "ghcr.io/puaa-team/aituan/mysql:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6"
34m         Normal    Pulled                         pod/api-gateway-67454f875f-x74n8                         Successfully pulled image "ghcr.io/puaa-team/aituan/api-gateway:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6" in 8.844s (8.844s including waiting). Image size: 127093605 bytes.
34m         Normal    Started                        pod/aituan-web-9db46b55c-z89pk                           Container started
34m         Normal    Started                        pod/api-gateway-67454f875f-x74n8                         Container started
34m         Normal    Created                        pod/api-gateway-67454f875f-x74n8                         Container created
34m         Normal    Created                        pod/aituan-web-9db46b55c-z89pk                           Container created
34m         Normal    Pulled                         pod/aituan-web-9db46b55c-z89pk                           Successfully pulled image "ghcr.io/puaa-team/aituan/web:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6" in 8.644s (8.644s including waiting). Image size: 34352912 bytes.
33m         Normal    Pulled                         pod/engagement-platform-service-57c9877df4-xxt4j         Successfully pulled image "ghcr.io/puaa-team/aituan/engagement-platform-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6" in 14.978s (14.978s including waiting). Image size: 130689286 bytes.
33m         Normal    Pulled                         pod/merchant-catalog-service-5d6858cd97-qgnk6            Successfully pulled image "ghcr.io/puaa-team/aituan/merchant-catalog-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6" in 15.645s (15.645s including waiting). Image size: 130636971 bytes.
33m         Normal    Created                        pod/mysql-0                                              Container created
33m         Normal    ScalingReplicaSet              deployment/aituan-web                                    Scaled down replica set aituan-web-dd89ff558 from 1 to 0
33m         Normal    Started                        pod/mysql-0                                              Container started
33m         Normal    Killing                        pod/aituan-web-dd89ff558-h6vkz                           Stopping container web
33m         Normal    Pulled                         pod/mysql-0                                              Successfully pulled image "ghcr.io/puaa-team/aituan/mysql:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6" in 11.219s (11.219s including waiting). Image size: 233592653 bytes.
33m         Normal    SuccessfulDelete               replicaset/aituan-web-dd89ff558                          Deleted pod: aituan-web-dd89ff558-h6vkz
33m         Normal    Pulled                         pod/identity-asset-service-54fddb66c9-cdgcw              Successfully pulled image "ghcr.io/puaa-team/aituan/identity-asset-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6" in 25.515s (25.515s including waiting). Image size: 131474465 bytes.
33m         Normal    Started                        pod/identity-asset-service-54fddb66c9-cdgcw              Container started
33m         Normal    Created                        pod/identity-asset-service-54fddb66c9-cdgcw              Container created
33m         Warning   Unhealthy                      pod/api-gateway-67454f875f-x74n8                         Startup probe failed: Get "http://10.42.0.139:8080/actuator/health": dial tcp 10.42.0.139:8080: connect: connection refused
33m         Normal    Pulled                         pod/merchant-catalog-service-5d6858cd97-qgnk6            Container image "ghcr.io/puaa-team/aituan/merchant-catalog-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6" already present on machine and can be accessed by the pod
33m         Normal    Started                        pod/merchant-catalog-service-5d6858cd97-qgnk6            Container started
33m         Normal    Created                        pod/engagement-platform-service-57c9877df4-xxt4j         Container created
33m         Normal    Started                        pod/engagement-platform-service-57c9877df4-xxt4j         Container started
33m         Normal    Pulled                         pod/engagement-platform-service-57c9877df4-xxt4j         Container image "ghcr.io/puaa-team/aituan/engagement-platform-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6" already present on machine and can be accessed by the pod
33m         Normal    Created                        pod/merchant-catalog-service-5d6858cd97-qgnk6            Container created
33m         Normal    SuccessfulDelete               replicaset/api-gateway-6487dd55d9                        Deleted pod: api-gateway-6487dd55d9-rqth9
33m         Normal    Killing                        pod/api-gateway-6487dd55d9-rqth9                         Stopping container api-gateway
33m         Normal    Pulling                        pod/trade-fulfillment-service-b94c4db85-8vgkg            Pulling image "ghcr.io/puaa-team/aituan/trade-fulfillment-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6"
33m         Warning   Unhealthy                      pod/merchant-catalog-service-65bd4fcf56-8b7vs            Readiness probe failed: Get "http://10.42.0.119:8082/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
33m         Warning   Unhealthy                      pod/trade-fulfillment-service-5f9dd448d4-5w64w           Readiness probe failed: Get "http://10.42.0.120:8083/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
33m         Warning   Unhealthy                      pod/identity-asset-service-54fddb66c9-cdgcw              Startup probe failed: Get "http://10.42.0.141:8081/actuator/health": dial tcp 10.42.0.141:8081: connect: connection refused
33m         Warning   Unhealthy                      pod/engagement-platform-service-b6f9bd8c9-mmpz7          Readiness probe failed: Get "http://10.42.0.117:8084/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
33m         Warning   Unhealthy                      pod/identity-asset-service-7cf5978966-h4rxp              Readiness probe failed: Get "http://10.42.0.118:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
33m         Normal    Pulled                         pod/trade-fulfillment-service-b94c4db85-8vgkg            Successfully pulled image "ghcr.io/puaa-team/aituan/trade-fulfillment-service:sha-1798c0939a2598e378dd3d2058096fa4f91b60d6" in 6.932s (6.932s including waiting). Image size: 123123464 bytes.
33m         Normal    Created                        pod/trade-fulfillment-service-b94c4db85-8vgkg            Container created
33m         Normal    Started                        pod/trade-fulfillment-service-b94c4db85-8vgkg            Container started
33m         Normal    SuccessfulDelete               replicaset/identity-asset-service-7cf5978966             Deleted pod: identity-asset-service-7cf5978966-h4rxp
33m         Normal    ScalingReplicaSet              deployment/identity-asset-service                        Scaled down replica set identity-asset-service-7cf5978966 from 1 to 0
33m         Warning   Unhealthy                      pod/merchant-catalog-service-5d6858cd97-qgnk6            Startup probe failed: Get "http://10.42.0.142:8082/actuator/health": dial tcp 10.42.0.142:8082: connect: connection refused
33m         Normal    Killing                        pod/identity-asset-service-7cf5978966-h4rxp              Stopping container identity-asset-service
33m         Warning   Unhealthy                      pod/engagement-platform-service-57c9877df4-xxt4j         Startup probe failed: Get "http://10.42.0.140:8084/actuator/health": dial tcp 10.42.0.140:8084: connect: connection refused
33m         Normal    ScalingReplicaSet              deployment/merchant-catalog-service                      Scaled down replica set merchant-catalog-service-65bd4fcf56 from 1 to 0
33m         Normal    Killing                        pod/merchant-catalog-service-65bd4fcf56-8b7vs            Stopping container merchant-catalog-service
33m         Normal    SuccessfulDelete               replicaset/merchant-catalog-service-65bd4fcf56           Deleted pod: merchant-catalog-service-65bd4fcf56-8b7vs
33m         Normal    Killing                        pod/engagement-platform-service-b6f9bd8c9-mmpz7          Stopping container engagement-platform-service
33m         Normal    ScalingReplicaSet              deployment/engagement-platform-service                   Scaled down replica set engagement-platform-service-b6f9bd8c9 from 1 to 0
33m         Normal    SuccessfulDelete               replicaset/engagement-platform-service-b6f9bd8c9         Deleted pod: engagement-platform-service-b6f9bd8c9-mmpz7
33m         Warning   Unhealthy                      pod/trade-fulfillment-service-b94c4db85-8vgkg            Startup probe failed: Get "http://10.42.0.143:8083/actuator/health": dial tcp 10.42.0.143:8083: connect: connection refused
32m         Normal    ScalingReplicaSet              deployment/trade-fulfillment-service                     Scaled down replica set trade-fulfillment-service-5f9dd448d4 from 1 to 0
32m         Normal    Killing                        pod/trade-fulfillment-service-5f9dd448d4-5w64w           Stopping container trade-fulfillment-service
32m         Normal    SuccessfulDelete               replicaset/trade-fulfillment-service-5f9dd448d4          Deleted pod: trade-fulfillment-service-5f9dd448d4-5w64w
32m         Normal    Started                        pod/health-api-gateway-33625864450-1-1                   Container started
32m         Normal    Created                        pod/health-api-gateway-33625864450-1-1                   Container created
32m         Normal    Pulled                         pod/health-api-gateway-33625864450-1-1                   Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
32m         Normal    Created                        pod/version-api-gateway-33625864450-1                    Container created
32m         Normal    Started                        pod/version-api-gateway-33625864450-1                    Container started
32m         Normal    Pulled                         pod/version-api-gateway-33625864450-1                    Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
32m         Normal    Started                        pod/health-identity-asset-service-33625864450-1-1        Container started
32m         Normal    Pulled                         pod/health-identity-asset-service-33625864450-1-1        Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
32m         Normal    Created                        pod/health-identity-asset-service-33625864450-1-1        Container created
32m         Normal    Created                        pod/version-identity-asset-service-33625864450-1         Container created
32m         Normal    Pulled                         pod/version-identity-asset-service-33625864450-1         Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
32m         Normal    Started                        pod/version-identity-asset-service-33625864450-1         Container started
32m         Normal    Pulled                         pod/health-merchant-catalog-service-33625864450-1-1      Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
32m         Normal    Created                        pod/health-merchant-catalog-service-33625864450-1-1      Container created
32m         Normal    Started                        pod/health-merchant-catalog-service-33625864450-1-1      Container started
32m         Normal    Started                        pod/version-merchant-catalog-service-33625864450-1       Container started
32m         Normal    Pulled                         pod/version-merchant-catalog-service-33625864450-1       Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
32m         Normal    Created                        pod/version-merchant-catalog-service-33625864450-1       Container created
32m         Normal    Pulled                         pod/health-trade-fulfillment-service-33625864450-1-1     Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
32m         Normal    Created                        pod/health-trade-fulfillment-service-33625864450-1-1     Container created
32m         Normal    Started                        pod/health-trade-fulfillment-service-33625864450-1-1     Container started
32m         Normal    Pulled                         pod/version-trade-fulfillment-service-33625864450-1      Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
32m         Normal    Created                        pod/version-trade-fulfillment-service-33625864450-1      Container created
32m         Normal    Started                        pod/version-trade-fulfillment-service-33625864450-1      Container started
32m         Normal    Started                        pod/health-engagement-platform-service-33625864450-1-1   Container started
32m         Normal    Created                        pod/health-engagement-platform-service-33625864450-1-1   Container created
32m         Normal    Pulled                         pod/health-engagement-platform-service-33625864450-1-1   Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
